round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.8747503500938415,0.6599,0.00924776249214429,8.552111111111077e-05,15.379180908203125,160.04987382847125,fashion,iid,fedavg
2,0.4928203515529633,0.8205,0.014111352797580306,0.00019913027777777753,15.379180908203125,120.47883417871313,fashion,iid,fedavg
3,0.43935362906455994,0.8428,0.00793382351426825,6.294555555555582e-05,15.379180908203125,145.59062990333763,fashion,iid,fedavg
4,0.4052875124454498,0.8543,0.005804213029247724,3.368888888888904e-05,15.379180908203125,152.74721506192756,fashion,iid,fedavg
5,0.3860107476711273,0.862,0.008650128451197827,7.482472222222212e-05,15.379180908203125,196.00056106664044,fashion,iid,fedavg
1,0.5771697867870331,0.8049,0.01038166118156864,0.00010777888888888917,15.379180908203125,149.60607068357172,fashion,iid,fedprox
2,0.45305056710243224,0.8402,0.008625688378326678,7.440249999999992e-05,15.379180908203125,155.93447613402716,fashion,iid,fedprox
3,0.4123610170841217,0.8538,0.007488899192211842,5.608361111111118e-05,15.379180908203125,154.89377555794036,fashion,iid,fedprox
4,0.3894787872314453,0.8637,0.007098826194050194,5.039333333333317e-05,15.379180908203125,168.0263794038174,fashion,iid,fedprox
5,0.3698431857585907,0.87,0.005552001641050012,3.0824722222222024e-05,15.379180908203125,181.8836862376295,fashion,iid,fedprox
1,0.6733049132347106,0.7601,0.008399553559564924,7.05524999999998e-05,15.379180908203125,188.42809015116762,fashion,iid,fednova
2,0.47602371492385864,0.8267,0.010106117509266906,0.00010213361111111113,15.379180908203125,162.05712272931763,fashion,iid,fednova
3,0.417633620262146,0.8541,0.011297357114731631,0.0001276302777777774,15.379180908203125,197.91506573884658,fashion,iid,fednova
4,0.38940637135505674,0.8622,0.00860079130726419,7.397361111111125e-05,15.379180908203125,170.41699007005522,fashion,iid,fednova
5,0.37056209230422976,0.8697,0.0055518015094201635,3.0822500000000005e-05,15.379180908203125,182.4190515935199,fashion,iid,fednova
1,3.9886445182800294,0.1,0.05389444415810511,0.0029046111111111104,15.379180908203125,130.8135152324753,fashion,label_skew,fedavg
2,2.388491466522217,0.3476,0.05066152660330891,0.002566590277777776,15.379180908203125,176.32154646842713,fashion,label_skew,fedavg
3,3.2396226848602296,0.1963,0.05655528268871086,0.003198499999999998,15.379180908203125,173.53412983236746,fashion,label_skew,fedavg
4,2.29040684299469,0.3699,0.05453693957106301,0.002974277777777778,15.379180908203125,148.8620179651188,fashion,label_skew,fedavg
5,3.0476712799072265,0.2807,0.05417410205377965,0.0029348333333333323,15.379180908203125,163.31799198646547,fashion,label_skew,fedavg
1,3.5006847232818603,0.1,0.0619727202529916,0.003840618055555556,15.379180908203125,172.98686984655768,fashion,label_skew,fedprox
2,2.3224716793060303,0.3315,0.056491149749319146,0.0031912500000000005,15.379180908203125,146.4091635049224,fashion,label_skew,fedprox
3,3.2767263946533203,0.1342,0.05139471438452272,0.002641416666666667,15.379180908203125,179.52103923843657,fashion,label_skew,fedprox
4,2.198046699142456,0.4005,0.05608624311421354,0.003145666666666666,15.379180908203125,178.59874229812561,fashion,label_skew,fedprox
5,3.12940834274292,0.2541,0.051626597365655974,0.0026653055555555566,15.379180908203125,132.74217582084293,fashion,label_skew,fedprox
1,3.5069431701660156,0.1,0.07291261893527072,0.005316249999999999,15.379180908203125,112.79283989884448,fashion,label_skew,fednova
2,2.433520347595215,0.28,0.06754936466515926,0.004562916666666667,15.379180908203125,171.44625673365175,fashion,label_skew,fednova
3,3.148368480682373,0.1654,0.05846865256984579,0.003418583333333335,15.379180908203125,185.7922430611215,fashion,label_skew,fednova
4,2.500710069656372,0.3159,0.07512748424437551,0.00564413888888889,15.379180908203125,153.0975513052052,fashion,label_skew,fednova
5,3.2102157852172852,0.2566,0.0514207183708841,0.0026440902777777773,15.379180908203125,145.11016906738215,fashion,label_skew,fednova
1,0.5953991839885712,0.7706,0.1400247799487223,0.019606938999688107,15.379180908203125,140.29391347412206,fashion,quantity_skew,fedavg
2,0.40245909395217894,0.8591,0.052435352539721154,0.0027494661959648415,15.379180908203125,155.43144955417912,fashion,quantity_skew,fedavg
3,0.3640841556072235,0.8703,0.040809682852647536,0.0016654302145336745,15.379180908203125,102.94333476051342,fashion,quantity_skew,fedavg
4,0.3497985203266144,0.8779,0.036573941546607994,0.001337653200254698,15.379180908203125,161.67778082733562,fashion,quantity_skew,fedavg
5,0.3249071768760681,0.8815,0.034277795384686456,0.0011749672564344321,15.379180908203125,128.79071835025533,fashion,quantity_skew,fedavg
1,0.5378327139377594,0.8115,0.17657258303299517,0.031177877078943973,15.379180908203125,164.31822891496728,fashion,quantity_skew,fedprox
2,0.41283248138427736,0.8539,0.0511349878921977,0.0026147869867352053,15.379180908203125,141.2156509303793,fashion,quantity_skew,fedprox
3,0.3791445731163025,0.8659,0.043717242161758756,0.0019111972622298575,15.379180908203125,183.7367527693125,fashion,quantity_skew,fedprox
4,0.34834205646514893,0.8762,0.03656474111753607,0.001336980292992433,15.379180908203125,157.9854776489969,fashion,quantity_skew,fedprox
5,0.34430827412605286,0.8748,0.03691478960043772,0.0013627016912445848,15.379180908203125,170.75792755589788,fashion,quantity_skew,fedprox
1,0.5756154479026795,0.7836,0.16676947562449487,0.02781205800006899,15.379180908203125,157.06368916192963,fashion,quantity_skew,fednova
2,0.46093399853706357,0.8305,0.05382316684150564,0.0028969332888485527,15.379180908203125,169.4451892360165,fashion,quantity_skew,fednova
3,0.4072985859394074,0.857,0.03974618849281192,0.0015797594997061346,15.379180908203125,186.457139013466,fashion,quantity_skew,fednova
4,0.3960036194801331,0.8549,0.03546925185803713,0.0012580678273688703,15.379180908203125,176.56993079744362,fashion,quantity_skew,fednova
5,0.38859331464767455,0.8638,0.031234486494572358,0.0009755931465796231,15.379180908203125,203.16104117122967,fashion,quantity_skew,fednova
